timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644843843, ,3.4000000954,3.4000000954,3.4000000954,5.4000000954,3.4000000954,6.1999998093,3.5999999046,0,3.2999999523,5.9000000954,3.5,2.9000000954,3.4000000954
1644843844, ,3.4000000954,3.4000000954,3.4000000954,5.4000000954,3.4000000954,6.1999998093,3.5999999046,0,3.5,5.9000000954,3.4000000954,2.9000000954,3.4000000954
1644843845, ,3.2999999523,3.5,3.4000000954,6.6999998093,3.7999999523,6,3.4000000954,0,3.5,5.9000000954,3.4000000954,2.9000000954,3.4000000954
1644843846, ,3.2999999523,3.5,3.4000000954,6.6999998093,3.7999999523,6,3.4000000954,0,3.5,5.9000000954,3.4000000954,2.9000000954,3.4000000954
1644843847, ,3.2999999523,3.5,3.4000000954,6.6999998093,3.7999999523,6,3.4000000954,0,3.5,5.8000001907,3.4000000954,3.5,3.4000000954
1644843848, ,3.4000000954,3.4000000954,3.2999999523,5.5,3.5,5.8000001907,3.5,0,3.5,5.8000001907,3.4000000954,3.5,3.4000000954
1644843849, ,3.4000000954,3.4000000954,3.2999999523,5.5,3.5,5.8000001907,3.5,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843850, ,3.4000000954,3.4000000954,3.2999999523,5.5,3.5,5.8000001907,3.5,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843851, ,3.5,3.4000000954,3.5,5.5,3.5999999046,5,3.5999999046,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843852, ,3.5,3.4000000954,3.5,5.5,3.5999999046,5,3.5999999046,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843853, ,3.5,3.4000000954,3.5,5.5,3.5999999046,5,3.5999999046,0,3.7000000477,5.8000001907,3.2999999523,3.2999999523,3.2999999523
1644843854, ,3.2999999523,3.5,3.4000000954,5.5,3.4000000954,6,3.4000000954,0,3.7000000477,5.8000001907,3.2999999523,3.2999999523,3.2999999523
1644843855, ,3.2999999523,3.5,3.4000000954,5.5,3.4000000954,6,3.4000000954,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
1644843856, ,3.4000000954,3.4000000954,3.2999999523,5.5999999046,3.5,4.6999998093,3.5999999046,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
1644843857, ,3.4000000954,3.4000000954,3.2999999523,5.5999999046,3.5,4.6999998093,3.5999999046,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
1644843858, ,3.4000000954,3.4000000954,3.2999999523,5.5999999046,3.5,4.6999998093,3.5999999046,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
1644843859, ,3.2999999523,3.4000000954,3.4000000954,5.5999999046,3.2999999523,4.9000000954,3.4000000954,0,3.2999999523,5.6999998093,3.2999999523,3.2999999523,3.5
1644843860, ,3.2999999523,3.4000000954,3.4000000954,5.5999999046,3.2999999523,4.9000000954,3.4000000954,0,3.2999999523,5.6999998093,3.2999999523,3.2999999523,3.5
1644843861, ,3.2999999523,3.4000000954,3.4000000954,5.5999999046,3.2999999523,4.9000000954,3.4000000954,0,3.2999999523,5.6999998093,3.2999999523,3.2999999523,3.5
1644843862, ,3.2999999523,3.4000000954,3.4000000954,5.5999999046,3.2999999523,4.9000000954,3.4000000954,0,3.7999999523,5.8000001907,3.5,2.9000000954,3.4000000954
1644843863, ,3.2999999523,3.5,3.5,5.6999998093,3.4000000954,6,3.2999999523,0,3.7999999523,5.8000001907,3.5,2.9000000954,3.4000000954
1644843864, ,3.2999999523,3.5,3.5,5.6999998093,3.4000000954,6,3.2999999523,0,3.7999999523,5.8000001907,3.5,2.9000000954,3.4000000954
1644843865, ,3.4000000954,3.2000000477,3.2999999523,7.3000001907,3.5,5.0999999046,3.5,0,3.5,5.9000000954,3.4000000954,3.0999999046,4
1644843866, ,3.4000000954,3.2000000477,3.2999999523,7.3000001907,3.5,5.0999999046,3.5,0,3.5,5.9000000954,3.4000000954,3.0999999046,4
1644843867, ,3.4000000954,3.2000000477,3.2999999523,7.3000001907,3.5,5.0999999046,3.5,0,3.5,5.9000000954,3.4000000954,3.0999999046,4
1644843868, ,3.4000000954,3.2000000477,3.2999999523,7.3000001907,3.5,5.0999999046,3.5,0,3.2999999523,5.5,3.5,2.9000000954,3.5
1644843869, ,3.4000000954,3.4000000954,3.4000000954,5.5,3.4000000954,6.0999999046,3.4000000954,0,3.2999999523,5.5,3.5,2.9000000954,3.5
1644843870, ,3.4000000954,3.4000000954,3.4000000954,5.5,3.4000000954,6.0999999046,3.4000000954,0,3.2999999523,5.9000000954,3.5,2.9000000954,3.5
1644843871, ,3.4000000954,3.4000000954,3.4000000954,5.5,3.4000000954,6.0999999046,3.4000000954,0,3.2999999523,5.9000000954,3.5,2.9000000954,3.5
1644843872, ,3.2999999523,3.5,3.4000000954,5.5,3.4000000954,6.0999999046,3.2999999523,0,3.2999999523,5.9000000954,3.5,2.9000000954,3.5
1644843873, ,3.2999999523,3.5,3.4000000954,5.5,3.4000000954,6.0999999046,3.2999999523,0,3.2999999523,5.9000000954,3.5,2.9000000954,3.5
