Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107
1646005612,6268,24.5,3.4000000954,3.5999999046,3.5,3.5999999046,3.5,3.4000000954,3.5
1646005613,6269,24.5,3.4000000954,3.5999999046,3.5,3.5999999046,3.5,3.4000000954,3.5
1646005614,6270,24.2999999523,3.2999999523,3.5,3.5,3.5999999046,3.4000000954,3.5,3.5
1646005615,6271,24,3.2999999523,3.5,3.5,3.5999999046,3.4000000954,3.5,3.2000000477
1646005616,6272,24,3.2999999523,3.5,3.5,3.5999999046,3.4000000954,3.5,3.2000000477
1646005617,6273,23.5,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2000000477
1646005618,6274,23.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1646005619,6275,23.9000000954,3.5,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1646005620,6276,24.1000001431,3.5,3.5999999046,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954
1646005621,6277,24.1000001431,3.5,3.5999999046,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954
1646005622,6278,23.9000003339,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954
1646005623,6279,24.5,3.4000000954,3.5,3.4000000954,4.0999999046,3.2999999523,3.5,3.2999999523
1646005624,6280,24.5,3.4000000954,3.5,3.4000000954,4.0999999046,3.2999999523,3.5,3.2999999523
1646005625,6281,23.9999997615,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.5,3.2999999523
1646005626,6282,24.1999998092,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.5,3.5999999046,3.2000000477
1646005627,6283,24.1999998092,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.5,3.5999999046,3.2000000477
1646005628,6284,23.6999998092,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2000000477
1646005629,6285,23.5999999046,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1646005630,6286,23.5999999046,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1646005631,6287,24.7000002862,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.9000000954,3.2999999523,3.4000000954
1646005632,6288,24.7000002862,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.9000000954,3.2999999523,3.4000000954
1646005633,6289,24.4999997615,3.2999999523,3.5,3.5,3.5999999046,3.5999999046,3.5999999046,3.4000000954
1646005634,6290,24.4999997615,3.2999999523,3.5,3.5,3.5999999046,3.5999999046,3.5999999046,3.4000000954
