Timestamp,Time,Total_energy,192.168.5.101
1645786719,13905,5,5
1645786720,13906,5,5
1645786721,13907,4.6999998093,4.6999998093
1645786722,13908,4.6999998093,4.6999998093
1645786723,13909,4.6999998093,4.6999998093
1645786724,13910,4.9000000954,4.9000000954
1645786725,13911,4.9000000954,4.9000000954
1645786726,13912,4.9000000954,4.9000000954
1645786727,13913,5,5
1645786728,13914,5,5
1645786729,13915,4.9000000954,4.9000000954
1645786730,13916,4.9000000954,4.9000000954
1645786731,13917,4.9000000954,4.9000000954
1645786732,13918,4.9000000954,4.9000000954
1645786733,13919,4.9000000954,4.9000000954
1645786734,13920,4.9000000954,4.9000000954
1645786735,13921,5.4000000954,5.4000000954
1645786736,13922,5.4000000954,5.4000000954
1645786737,13923,5.4000000954,5.4000000954
1645786738,13924,4.8000001907,4.8000001907
1645786739,13925,4.8000001907,4.8000001907
1645786740,13926,4.8000001907,4.8000001907
1645786741,13927,4.8000001907,4.8000001907
1645786742,13928,4.8000001907,4.8000001907
1645786743,13929,4.8000001907,4.8000001907
1645786744,13930,4.8000001907,4.8000001907
1645786745,13931,4.8000001907,4.8000001907
1645786746,13932,4.8000001907,4.8000001907
1645786747,13933,4.8000001907,4.8000001907
1645786748,13934,4.8000001907,4.8000001907
1645786749,13935,4.8000001907,4.8000001907
1645786750,13936,4.3000001907,4.3000001907
1645786751,13937,4.3000001907,4.3000001907
1645786752,13938,4.3000001907,4.3000001907
1645786753,13939,4.3000001907,4.3000001907
1645786754,13940,4.3000001907,4.3000001907
1645786755,13941,4.3000001907,4.3000001907
1645786756,13942,4.3000001907,4.3000001907
1645786757,13943,4.4000000954,4.4000000954
1645786758,13944,4.4000000954,4.4000000954
1645786759,13945,4.4000000954,4.4000000954
1645786760,13946,4.4000000954,4.4000000954
1645786761,13947,4.3000001907,4.3000001907
1645786762,13948,4.3000001907,4.3000001907
1645786763,13949,4.3000001907,4.3000001907
1645786764,13950,4.4000000954,4.4000000954
1645786765,13951,4.4000000954,4.4000000954
1645786766,13952,4.4000000954,4.4000000954
1645786767,13953,4.4000000954,4.4000000954
1645786768,13954,4.4000000954,4.4000000954
1645786769,13955,4.4000000954,4.4000000954
1645786770,13956,4.3000001907,4.3000001907
1645786771,13957,4.3000001907,4.3000001907
1645786772,13958,4.3000001907,4.3000001907
1645786773,13959,4.0999999046,4.0999999046
1645786774,13960,4.0999999046,4.0999999046
1645786775,13961,4.3000001907,4.3000001907
1645786776,13962,4.3000001907,4.3000001907
