Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105
1645961215,6818,17.8000001908,3.4000000954,3.7000000477,3.7000000477,3.5999999046,3.4000000954
1645961216,6819,17.8999998569,3.4000000954,3.5,3.5999999046,3.5999999046,3.7999999523
1645961217,6820,17.8999998569,3.4000000954,3.5,3.5999999046,3.5999999046,3.7999999523
1645961218,6821,17.1000001431,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.7999999523
1645961219,6822,17.1000001431,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.7999999523
1645961220,6823,17.1000001431,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.7999999523
1645961221,6824,17.1000001431,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.7999999523
1645961222,6825,17.5000002385,3.4000000954,4,3.2999999523,3.4000000954,3.4000000954
1645961223,6826,17.5000002385,3.4000000954,4,3.2999999523,3.4000000954,3.4000000954
1645961224,6827,17.5000002385,3.4000000954,4,3.2999999523,3.4000000954,3.4000000954
1645961225,6828,17.7999997138,3.5,3.5999999046,3.5999999046,3.5,3.5999999046
1645961226,6829,17.7999997138,3.5,3.5999999046,3.5999999046,3.5,3.5999999046
1645961227,6830,17.0999999046,3.2999999523,3.5999999046,3.5999999046,3.4000000954,3.2000000477
1645961228,6831,17.0999999046,3.2999999523,3.5999999046,3.5999999046,3.4000000954,3.2000000477
1645961229,6832,17.0999999046,3.2999999523,3.5999999046,3.5999999046,3.4000000954,3.2000000477
1645961230,6833,16.7000000477,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523
1645961231,6834,16.7000000477,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523
1645961232,6835,16.7000000477,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523
1645961233,6836,17.3000001908,3.4000000954,3.7000000477,3.4000000954,3.5,3.2999999523
1645961234,6837,17.3000001908,3.4000000954,3.7000000477,3.4000000954,3.5,3.2999999523
