Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
1645952743,7080,13.6000001431,3.4000000954,3.4000000954,3.2999999523,3.5
1645952744,7081,13.7999999523,3.2999999523,3.5,3.5999999046,3.4000000954
1645952745,7082,13.7999999523,3.2999999523,3.5,3.5999999046,3.4000000954
1645952746,7083,13.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645952747,7084,13.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645952748,7085,13.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645952749,7086,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952750,7087,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952751,7088,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952752,7089,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952753,7090,14.2999999523,3.5,3.7000000477,3.5999999046,3.5
1645952754,7091,14.2999999523,3.5,3.7000000477,3.5999999046,3.5
1645952755,7092,14.2999999523,3.5,3.7000000477,3.5999999046,3.5
1645952756,7093,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952757,7094,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952758,7095,13.5000002385,3.2000000477,3.5,3.4000000954,3.4000000954
1645952759,7096,13.5000002385,3.2000000477,3.5,3.4000000954,3.4000000954
1645952760,7097,13.5000002385,3.2000000477,3.5,3.4000000954,3.4000000954
1645952761,7098,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952762,7099,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952763,7100,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952764,7101,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645952765,7102,14,3.4000000954,3.5,3.5,3.5999999046
1645952766,7103,14,3.4000000954,3.5,3.5,3.5999999046
1645952767,7104,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952768,7105,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952769,7106,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952770,7107,14,3.4000000954,3.5999999046,3.5,3.5
1645952771,7108,14,3.4000000954,3.5999999046,3.5,3.5
1645952772,7109,14,3.4000000954,3.5999999046,3.5,3.5
1645952773,7110,13.8000001908,3.4000000954,3.4000000954,3.4000000954,3.5999999046
1645952774,7111,13.8000001908,3.4000000954,3.4000000954,3.4000000954,3.5999999046
1645952775,7112,13.8000001908,3.4000000954,3.4000000954,3.4000000954,3.5999999046
1645952776,7113,13.7999999523,3.4000000954,3.5,3.2999999523,3.5999999046
1645952777,7114,13.7999999523,3.4000000954,3.5,3.2999999523,3.5999999046
1645952778,7115,13.7999999523,3.4000000954,3.5,3.2999999523,3.5999999046
1645952779,7116,13.5,3.2999999523,3.5,3.2999999523,3.4000000954
1645952780,7117,13.5,3.2999999523,3.5,3.2999999523,3.4000000954
1645952781,7118,13.7999999523,3.5,3.4000000954,3.2999999523,3.5999999046
1645952782,7119,13.7999999523,3.5,3.4000000954,3.2999999523,3.5999999046
1645952783,7120,13.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046
1645952784,7121,13.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046
1645952785,7122,13.7999999523,3.4000000954,3.2999999523,3.5,3.5999999046
