timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644466383, ,5.1999998093,3.4000000954,3.4000000954,3.5,3.4000000954,5,3.5,3.2999999523,3.2999999523,3.2999999523,3.0999999046,3.7999999523
1644466384, ,5,3.4000000954,3.4000000954,3.5,3.4000000954,5,3.5,3.2999999523,3.2999999523,3.2999999523,3.0999999046,3.7999999523
1644466385, ,5,3.4000000954,3.2999999523,3.2999999523,3.2999999523,5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,3.4000000954
1644466386, ,5,3.4000000954,3.2999999523,3.2999999523,3.2999999523,5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,3.4000000954
1644466387, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.2999999523,5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,3.4000000954
1644466388, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.7000000477,4.6999998093,3.5,3.4000000954,3.9000000954,3.4000000954,3.2999999523,3.4000000954
1644466389, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.7000000477,4.6999998093,3.5,3.4000000954,3.9000000954,3.4000000954,3.2999999523,3.7000000477
1644466390, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.4000000954,5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.7000000477
1644466391, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.4000000954,5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.7000000477
1644466392, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.4000000954,5,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.7999999523
1644466393, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.4000000954,5,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.7999999523
1644466394, ,5.1999998093,3.4000000954,3.2000000477,3.2000000477,3.5,5,3.4000000954,3.2999999523,4.1999998093,3.5,3.4000000954,3.7999999523
1644466395, ,5.1999998093,3.4000000954,3.2000000477,3.2000000477,3.5,5,3.4000000954,3.5,4.1999998093,3.5,3,3.2999999523
1644466396, ,5.3000001907,3.4000000954,3.2000000477,3.4000000954,3.7000000477,5,3.4000000954,3.5,3.5999999046,3.5,3,3.2999999523
1644466397, ,5.3000001907,3.4000000954,3.2000000477,3.4000000954,3.7000000477,5,3.4000000954,3.5,3.5999999046,3.5,3,3.2999999523
1644466398, ,5.3000001907,3.4000000954,3.2000000477,3.4000000954,3.7000000477,5,3.4000000954,3.2999999523,3.5999999046,3.5,2.9000000954,3.7000000477
1644466399, ,5.3000001907,3.4000000954,3.2000000477,3.4000000954,3.7000000477,5,3.4000000954,3.2999999523,3.5999999046,3.5,2.9000000954,3.7000000477
1644466400, ,5.3000001907,3.4000000954,3.2999999523,3.5,3.2999999523,5.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.2999999523
1644466401, ,5.3000001907,3.4000000954,3.2999999523,3.5,3.2999999523,5.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.2999999523
1644466402, ,5.3000001907,3.4000000954,3.2999999523,3.5,3.2999999523,5.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.2999999523
1644466403, ,5.1999998093,3.4000000954,3,3.2000000477,3.5999999046,5.0999999046,3.4000000954,3.5,3.5,3.2999999523,3,3.2999999523
