timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646029504,3.4000000954,3.5999999046,3.2000000477,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.7000000477,40.9000000954
1646029505,3.4000000954,3.5999999046,3.2000000477,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.7000000477,40.9000000954
1646029506,3.4000000954,3.5,3.5,3.5,3.2999999523,3.5,3.4000000954,3.2000000477,3.5,3.5,3.2000000477,3.7000000477,41.2000002862
1646029507,3.4000000954,3.5,3.5,3.5,3.2999999523,3.5,3.4000000954,3.2000000477,3.5,3.5,3.2000000477,3.7000000477,41.2000002862
1646029508,3.2999999523,3.5,3.5,3.5,3.2999999523,3.5,3.4000000954,3.2000000477,3.5,3.2999999523,3.2999999523,3.4000000954,40.7000000477
1646029509,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.7999999523,3.4000000954,3.2000000477,3.5,3.2999999523,3.2999999523,3.4000000954,40.7000000477
1646029510,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.7999999523,3.5,3.2000000477,3.7000000477,3.2999999523,3.2999999523,3.4000000954,41
1646029511,3.2999999523,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.5,3.5,3.2000000477,3.7000000477,3.2999999523,3.2999999523,3.5,41.0000002385
1646029512,3.2999999523,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.5,3.5,3.2000000477,3.7000000477,3.2999999523,3.2999999523,3.5,41.0000002385
1646029513,3.2999999523,3.2000000477,3.7000000477,3.4000000954,3.4000000954,3.5,3.2000000477,3.5,3.5999999046,3.5,3.2000000477,3.5,41.0000002385
