timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1645770339, ,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954,3.2999999523,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523
1645770340, ,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954,3.2999999523,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523
1645770341, ,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.5,3.2999999523,0,0,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523
1645770342, ,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.5,3.7000000477,0,0,3.4000000954,3.4000000954,3.5,3.2999999523,3.0999999046,3.4000000954
1645770343, ,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.5,3.7000000477,0,0,3.4000000954,3.4000000954,3.5,3.2999999523,3.0999999046,3.4000000954
1645770344, ,3.2000000477,3.5999999046,3.5,3.4000000954,3.2999999523,3.7000000477,0,0,3.4000000954,3.4000000954,3.5,3.2999999523,3.0999999046,3.4000000954
1645770345, ,3.2000000477,3.5999999046,3.5,3.4000000954,3.2999999523,3.7000000477,0,0,3.4000000954,3.4000000954,3.2000000477,3.4000000954,3.2999999523,3.5999999046
1645770346, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.5,3.4000000954,0,0,3.4000000954,3.4000000954,3.2000000477,3.4000000954,3.2999999523,3.5999999046
1645770347, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.5,3.4000000954,0,0,3.4000000954,3.4000000954,3.2000000477,3.4000000954,3.2999999523,3.5999999046
1645770348, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.5,3.4000000954,0,0,3.2999999523,3.2999999523,3.7999999523,3.4000000954,3.2999999523,3.4000000954
1645770349, ,3.4000000954,3.7000000477,3.5,3.2999999523,3.5,3.4000000954,0,0,3.2999999523,3.2999999523,3.7999999523,3.4000000954,3.2999999523,3.4000000954
1645770350, ,3.4000000954,3.2999999523,3.2999999523,3.5,3.5999999046,4,0,0,3.2999999523,3.2999999523,3.7999999523,3.4000000954,3.2999999523,3.4000000954
1645770351, ,3.4000000954,3.2999999523,3.2999999523,3.5,3.5999999046,4,0,0,3.5,3.5,3.7999999523,3.4000000954,3.2999999523,3.4000000954
1645770352, ,3.2000000477,3.2999999523,3.2999999523,3.5,3.5999999046,4,0,0,3.5,3.5,3.5,3.2999999523,3.0999999046,3.2000000477
1645770353, ,3.2000000477,3.2000000477,3.2999999523,3.5999999046,3.4000000954,3.2999999523,0,0,3.5,3.5,3.5,3.2999999523,3.0999999046,3.2000000477
1645770354, ,3.2000000477,3.2000000477,3.2999999523,3.5999999046,3.4000000954,3.2999999523,0,0,3.5,3.4000000954,3.7000000477,3.2999999523,3.0999999046,3.2000000477
1645770355, ,3.2000000477,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.5,3.4000000954,3.7000000477,3.2999999523,3.2000000477,3.5999999046
1645770356, ,3.2000000477,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.4000000954,3.7999999523,3.5,3.2000000477,3.5999999046
1645770357, ,3.2000000477,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954,0,0,3.4000000954,3.4000000954,3.7999999523,3.5,3.4000000954,3.2999999523
1645770358, ,3.4000000954,3.7000000477,3.5,3.5,3.5,3.4000000954,0,0,3.4000000954,3.4000000954,3.7999999523,3.5,3.4000000954,3.2999999523
1645770359, ,3.4000000954,3.7000000477,3.5,3.5,3.5,3.4000000954,0,0,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.2999999523
1645770360, ,3.4000000954,3.7000000477,3.5,3.5,3.5,3.4000000954,0,0,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.4000000954
1645770361, ,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.5,0,0,3.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523,3.4000000954
1645770362, ,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.5,0,0,3.5,3.4000000954,3.5,3.2000000477,3.2000000477,3.5
1645770363, ,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,4,0,0,3.5,3.4000000954,3.5,3.2000000477,3.2000000477,3.5
1645770364, ,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,4,0,0,3.5,3.4000000954,3.5,3.2000000477,3.2000000477,3.5
1645770365, ,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,4,0,0,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.5999999046
1645770366, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5,0,0,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.5999999046
1645770367, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5,0,0,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.5999999046
1645770368, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5,0,0,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.5999999046
1645770369, ,3.5,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523
1645770370, ,3.5,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523
1645770371, ,3.5,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.0999999046,3.2999999523
1645770372, ,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.0999999046,3.2999999523
1645770373, ,3.4000000954,3.5,3.2999999523,3.7999999523,3.5,3.5,0,0,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.0999999046,3.2999999523
1645770374, ,3.4000000954,3.5,3.2999999523,3.7999999523,3.5,3.5,0,0,3.5,3.4000000954,3.4000000954,3.4000000954,3.0999999046,3.2999999523
1645770375, ,3.2999999523,3.5,3.2999999523,3.7999999523,3.5,3.5,0,0,3.5,3.4000000954,3.4000000954,3.4000000954,3.0999999046,3.2999999523
1645770376, ,3.2999999523,3.5,3.4000000954,3.5,3.5,3.9000000954,0,0,3.5,3.4000000954,3.4000000954,3.4000000954,3.0999999046,3.2999999523
1645770377, ,3.2999999523,3.5,3.4000000954,3.5,3.5,3.9000000954,0,0,3.2999999523,3.4000000954,3.5,3.5,3.2999999523,3.5
1645770378, ,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.9000000954,0,0,3.2999999523,3.4000000954,3.5,3.5,3.2999999523,3.5
1645770379, ,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.5,0,0,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.5
1645770380, ,3.5,3.2999999523,3.2999999523,3.2999999523,3.5,3.5,0,0,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.5
1645770381, ,3.5,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.7000000477,0,0,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.2999999523
1645770382, ,3.5,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.7000000477,0,0,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.2999999523
1645770383, ,3.5,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.7000000477,0,0,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.2999999523
1645770384, ,3.2999999523,3.2000000477,3.2999999523,3.7000000477,3.2999999523,3.5999999046,0,0,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.2999999523
1645770385, ,3.2999999523,3.2000000477,3.2999999523,3.7000000477,3.2999999523,3.5999999046,0,0,3.2999999523,3.5,3.7000000477,3.2000000477,3.2000000477,3.4000000954
1645770386, ,3.2999999523,3.2000000477,3.2999999523,3.7000000477,3.2999999523,3.5999999046,0,0,3.2999999523,3.5,3.7000000477,3.2000000477,3.2000000477,3.4000000954
1645770387, ,3.2000000477,3.5999999046,3.5,3.5999999046,3.2999999523,3.4000000954,0,0,3.2999999523,3.5,3.7000000477,3.2000000477,3.2000000477,3.4000000954
1645770388, ,3.2000000477,3.5999999046,3.5,3.5999999046,3.2999999523,3.4000000954,0,0,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.2999999523
1645770389, ,3.2000000477,3.5999999046,3.5,3.5999999046,3.2999999523,3.4000000954,0,0,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.2999999523
1645770390, ,3.4000000954,3.5999999046,3.5,3.4000000954,3.5,3.2999999523,0,0,3.5,3.4000000954,3.5,3.5,3.2000000477,3.2999999523
1645770391, ,3.4000000954,3.5999999046,3.5,3.4000000954,3.5,3.2999999523,0,0,3.5,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.2999999523
1645770393, ,3.5,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,0,0,3.5,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.2999999523
1645770395, ,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,0,0,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.2000000477,3.2999999523
1645770396, ,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,0,0,3.4000000954,3.5,3.5,3.2999999523,3.2000000477,3.2999999523
1645770397, ,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,0,0,3.4000000954,3.5,3.5,3.2999999523,3.2999999523,3.5999999046
1645770398, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,0,0,3.4000000954,3.5,3.5,3.2999999523,3.2999999523,3.5999999046
1645770399, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,0,0,3.2999999523,3.2999999523,3.5999999046,3.5,3,3.5999999046
1645770400, ,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,0,0,3.2999999523,3.2999999523,3.5999999046,3.5,3,3.4000000954
1645770401, ,3.5,3.2000000477,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.2999999523,3.2999999523,3.5999999046,3.5,3,3.4000000954
1645770402, ,3.5,3.2000000477,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.5,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645770403, ,3.5,3.2999999523,3.2000000477,4,3.4000000954,3.4000000954,0,0,3.5,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645770405, ,3.5,3.2999999523,3.2000000477,4,3.4000000954,3.4000000954,0,0,3.5,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645770406, ,3.5,3.2999999523,3.2000000477,4,3.4000000954,3.5999999046,0,0,3.5,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645770407, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5999999046,0,0,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2000000477,3.4000000954
1645770408, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5999999046,0,0,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2000000477,3.4000000954
1645770409, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5999999046,0,0,3.2999999523,3.2999999523,3.7999999523,3.5,3.4000000954,3.4000000954
1645770410, ,3.2999999523,3.5,3.5,3.5999999046,3.2999999523,3.5999999046,0,0,3.2999999523,3.2999999523,3.7999999523,3.5,3.4000000954,3.4000000954
1645770411, ,3.4000000954,4,3.5,3.2999999523,4,3.4000000954,0,0,3.2999999523,3.2999999523,3.7999999523,3.5,3.4000000954,3.4000000954
1645770412, ,3.4000000954,4,3.5,3.2999999523,4,3.4000000954,0,0,3.5,3.2999999523,3.7999999523,3.5,3.4000000954,3.4000000954
1645770413, ,3.2999999523,4,3.5,3.2999999523,4,3.4000000954,0,0,3.5,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1645770414, ,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,0,0,3.5,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
