Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
mBackground,ID0000151,14100.000.000,192.168.1.163,1611666863,1611666935,1611666981,1611666982,1611666982,1611666983,1611666989,72,47,7
mDiffFit,ID0000080,13923.000.000,192.168.1.166,1611665868,1611665896,1611665901,1611665914,1611665914,1611665916,1611665927,28,18,13
mBackground,ID0000465,14043.000.000,192.168.1.165,1611666544,1611666567,1611666658,1611666668,1611666668,1611666673,1611666683,23,101,15
mDiffFit,ID0000103,14050.000.000,192.168.1.163,1611666568,1611666708,1611666726,1611666733,1611666733,1611666734,1611666741,140,25,8
mConcatFit,ID0000451,14013.000.000,192.168.1.165,1611666418,1611666428,1611666440,1611666449,1611666449,1611666451,1611666464,10,21,15
mDiffFit,ID0000122,14031.000.000,192.168.1.165,1611666501,1611666518,1611666536,1611666546,1611666546,1611666548,1611666560,17,28,14
mDiffFit,ID0000068,13902.000.000,192.168.1.165,1611665736,1611665813,1611665820,1611665833,1611665833,1611665833,1611665844,77,20,11
mDiffFit,ID0000435,13998.000.000,192.168.1.161,1611666320,1611666341,1611666344,1611666353,1611666353,1611666354,1611666366,21,12,13
mDiffFit,ID0000088,13984.000.000,192.168.1.165,1611666234,1611666267,1611666279,1611666287,1611666287,1611666288,1611666299,33,20,12
clean_up_local_level,5_7,14109.000.000,192.168.1.4,1611666982,1611666982,1611666993,1611666994,1611666994,1611666995,1611667004,0,12,10
mDiffFit,ID0000274,13882.000.000,192.168.1.164,1611665595,1611665703,1611665720,1611665730,1611665730,1611665732,1611665742,108,27,12
register_local,2_1,13990.000.000,192.168.1.4,1611666262,1611666265,1611666274,1611666287,1611666287,1611666288,1611666299,3,22,12
mDiffFit,ID0000128,13897.000.000,192.168.1.163,1611665701,1611665804,1611665809,1611665817,1611665817,1611665819,1611665833,103,13,16
mBackground,ID0000307,13944.000.000,192.168.1.165,1611665998,1611666014,1611666051,1611666056,1611666056,1611666057,1611666069,16,42,13
mProject,ID0000015,13603.000.000,192.168.1.166,1611662453,1611662470,1611664245,1611664247,1611664247,1611664249,1611664254,17,1777,7
clean_up_local_level,6_7,14108.000.000,192.168.1.4,1611666980,1611666981,1611666992,1611666994,1611666994,1611666995,1611667004,1,13,10
mDiffFit,ID0000215,13672.000.000,192.168.1.167,1611663667,1611663747,1611663748,1611663752,1611663752,1611663753,1611663758,80,5,6
mProject,ID0000004,13613.000.000,192.168.1.164,1611662471,1611662488,1611664288,1611664302,1611664302,1611664303,1611664314,17,1814,12
mProject,ID0000008,13607.000.000,192.168.1.163,1611662459,1611662470,1611664254,1611664267,1611664267,1611664269,1611664288,11,1797,21
mDiffFit,ID0000176,13662.000.000,192.168.1.162,1611663620,1611663704,1611663707,1611663716,1611663716,1611663718,1611663722,84,12,6
