Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106
1645616976,4313,20.7000002862,3.5,3.9000000954,3.0999999046,3.4000000954,3.4000000954,3.4000000954
1645616977,4314,20.7000002862,3.5,3.9000000954,3.0999999046,3.4000000954,3.4000000954,3.4000000954
1645616978,4315,20.7000002862,3.5,3.9000000954,3.0999999046,3.4000000954,3.4000000954,3.4000000954
1645616979,4316,20.0000002385,3.2999999523,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.4000000954
1645616980,4317,20.0000002385,3.2999999523,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.4000000954
1645616981,4318,20.0000002385,3.2999999523,3.2999999523,3.2000000477,3.4000000954,3.4000000954,3.4000000954
1645616982,4319,20.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.2999999523,3.5
1645616983,4320,20.3999998569,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.5
1645616984,4321,20.3999998569,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.5
1645616985,4322,19.5999999046,3.5,3.2000000477,3.0999999046,3.2000000477,3.2999999523,3.2999999523
1645616986,4323,19.5999999046,3.5,3.2000000477,3.0999999046,3.2000000477,3.2999999523,3.2999999523
1645616987,4324,19.9000000954,3.4000000954,3.5,3.2000000477,3.2000000477,3.2999999523,3.2999999523
1645616988,4325,20.4000003339,3.4000000954,3.5,3.2000000477,3.5,3.4000000954,3.4000000954
1645616989,4326,20.4000003339,3.4000000954,3.5,3.2000000477,3.5,3.4000000954,3.4000000954
1645616990,4327,19.9000003339,3.4000000954,3,3.2000000477,3.5,3.4000000954,3.4000000954
1645616991,4328,20.0000002385,3.4000000954,3,3.2000000477,3.5,3.5,3.4000000954
1645616992,4329,20.0000002385,3.4000000954,3,3.2000000477,3.5,3.5,3.4000000954
1645616993,4330,20,3.7999999523,3.2000000477,3.0999999046,3.2999999523,3.2000000477,3.4000000954
1645616994,4331,20.0999999046,3.7999999523,3.2000000477,3.0999999046,3.2999999523,3.2000000477,3.5
1645616995,4332,20.0999999046,3.7999999523,3.2000000477,3.0999999046,3.2999999523,3.2000000477,3.5
1645616996,4333,19.7000002862,3.4000000954,3.2000000477,3,3.4000000954,3.4000000954,3.2999999523
1645616997,4334,19.7000002862,3.4000000954,3.2000000477,3,3.4000000954,3.4000000954,3.2999999523
1645616998,4335,19.8999998569,3.2999999523,3.0999999046,3.2999999523,3.2999999523,3.4000000954,3.5
1645616999,4336,19.8999998569,3.2999999523,3.0999999046,3.2999999523,3.2999999523,3.4000000954,3.5
1645617000,4337,19.8999998569,3.2999999523,3.0999999046,3.2999999523,3.2999999523,3.4000000954,3.5
1645617001,4338,19.8999998569,3.2999999523,3.0999999046,3.2999999523,3.2999999523,3.4000000954,3.5
1645617002,4339,20.2000002862,3.4000000954,3.5,3.2000000477,3.2000000477,3.4000000954,3.5
1645617003,4340,20.2000002862,3.4000000954,3.5,3.2000000477,3.2000000477,3.4000000954,3.5
1645617004,4341,19.8000001908,3.4000000954,3.5,3.0999999046,3.2000000477,3.2000000477,3.4000000954
1645617005,4342,19.8000001908,3.4000000954,3.5,3.0999999046,3.2000000477,3.2000000477,3.4000000954
1645617006,4343,19.8000001908,3.4000000954,3.5,3.0999999046,3.2000000477,3.2000000477,3.4000000954
1645617007,4344,19.2000002862,3.4000000954,2.9000000954,3.0999999046,3.2000000477,3.2000000477,3.4000000954
1645617008,4345,19.5000002385,3.4000000954,2.9000000954,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1645617009,4346,19.5000002385,3.4000000954,2.9000000954,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1645617010,4347,19.9000003339,3.2999999523,3.2000000477,3.2000000477,3.4000000954,3.4000000954,3.4000000954
1645617011,4348,20.0000002385,3.2999999523,3.2000000477,3.2000000477,3.4000000954,3.4000000954,3.5
1645617012,4349,20.0000002385,3.2999999523,3.2000000477,3.2000000477,3.4000000954,3.4000000954,3.5
1645617013,4350,20.1999998092,3.2999999523,3.5,3.0999999046,3.5,3.2999999523,3.5
1645617014,4351,20.0999999046,3.2999999523,3.5,3.0999999046,3.5,3.2999999523,3.4000000954
1645617015,4352,19.7999999523,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.4000000954
1645617016,4353,19.7999999523,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.4000000954
1645617017,4354,19.7999999523,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.4000000954
1645617018,4355,19.7999999523,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.4000000954
1645617019,4356,19.9000000954,3.2000000477,3,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645617020,4357,19.9000000954,3.2000000477,3,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645617021,4358,19.9000000954,3.2000000477,3,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645617022,4359,20.3000001908,3.4000000954,3.7000000477,3.0999999046,3.4000000954,3.2999999523,3.4000000954
1645617023,4360,20.3000001908,3.4000000954,3.7000000477,3.0999999046,3.4000000954,3.2999999523,3.4000000954
1645617024,4361,20.9000000954,4,3.7000000477,3.0999999046,3.4000000954,3.2999999523,3.4000000954
1645617025,4362,21,4,3.5,3.0999999046,3.5,3.4000000954,3.5
1645617026,4363,20.7000000477,3.5,3.7000000477,3.0999999046,3.5,3.4000000954,3.5
1645617027,4364,20.1000001431,3.5,3.7000000477,3,3.2000000477,3.2999999523,3.4000000954
1645617028,4365,20.1000001431,3.5,3.7000000477,3,3.2000000477,3.2999999523,3.4000000954
1645617029,4366,19.9000000954,3.4000000954,3.0999999046,3.2000000477,3.5,3.2999999523,3.4000000954
1645617030,4367,19.9000000954,3.4000000954,3.0999999046,3.2000000477,3.5,3.2999999523,3.4000000954
1645617031,4368,20.1000001431,3.4000000954,3.0999999046,3.2000000477,3.5,3.4000000954,3.5
1645617032,4369,20.1000001431,3.4000000954,3.0999999046,3.2000000477,3.5,3.4000000954,3.5
1645617033,4370,20.4000000954,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.5
1645617034,4371,20.4000000954,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.5
1645617035,4372,20.4000000954,3.4000000954,3.5,3.2000000477,3.5,3.2999999523,3.5
1645617036,4373,20.2000000477,3.4000000954,3.5,3.0999999046,3.4000000954,3.2999999523,3.5
1645617037,4374,20.2000000477,3.4000000954,3.5,3.0999999046,3.4000000954,3.2999999523,3.5
1645617038,4375,20.2000000477,3.4000000954,3.5,3.0999999046,3.4000000954,3.2999999523,3.5
1645617039,4376,19.7000002862,3.4000000954,3.2000000477,3,3.2999999523,3.4000000954,3.4000000954
1645617040,4377,19.7000002862,3.4000000954,3.2000000477,3,3.2999999523,3.4000000954,3.4000000954
1645617041,4378,20.2999999523,3.7999999523,3.0999999046,3.0999999046,3.4000000954,3.4000000954,3.5
1645617042,4379,20.2999999523,3.7999999523,3.0999999046,3.0999999046,3.4000000954,3.4000000954,3.5
1645617043,4380,20.2999999523,3.7999999523,3.0999999046,3.0999999046,3.4000000954,3.4000000954,3.5
1645617044,4381,19.7999999523,3.2999999523,3.0999999046,3.0999999046,3.4000000954,3.4000000954,3.5
1645617045,4382,19.8999998569,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.5
1645617046,4383,19.8999998569,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.5
1645617047,4384,19.8999998569,3.2999999523,3.5,3.0999999046,3.2999999523,3.2000000477,3.5
1645617048,4385,19.8999998569,3.2999999523,3.5,3.0999999046,3.2999999523,3.2999999523,3.4000000954
1645617049,4386,19.7000000477,3.2000000477,3.2999999523,3.2000000477,3.2999999523,3.2999999523,3.4000000954
1645617050,4387,19.7000000477,3.2000000477,3.2999999523,3.2000000477,3.2999999523,3.2999999523,3.4000000954
1645617051,4388,20.0000002385,3.2000000477,3.2999999523,3.2000000477,3.5,3.4000000954,3.4000000954
1645617052,4389,20.0000002385,3.2000000477,3.2999999523,3.2000000477,3.5,3.4000000954,3.4000000954
1645617053,4390,20.6000001431,3.4000000954,3.5999999046,3.2000000477,3.4000000954,3.5,3.5
