Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,192.168.5.113
1644897371,11,39.8000001908,3.2999999523,3.4000000954,3.2000000477,3.2000000477,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5,2.9000000954,3.5999999046,3.5
1644897372,12,39.7000000477,3.2999999523,3.4000000954,3.0999999046,3.2000000477,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.5,2.9000000954,3.5999999046,3.5
1644897373,13,39.6000001431,3.2999999523,3.4000000954,3.0999999046,3.2000000477,3.4000000954,3.2000000477,3.2000000477,3.4000000954,3.2999999523,3,3.5999999046,3.5
1644897374,14,39.2000002862,3.2999999523,3.4000000954,3.2000000477,3.2000000477,3.4000000954,3.2000000477,3.2000000477,3.4000000954,3.2999999523,3,3.2999999523,3.2999999523
1644897375,15,39.8000001908,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3,3.2999999523,3.2999999523
1644897376,16,39.9000003339,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3,3.2999999523,3.4000000954
1644897377,17,39.9000003339,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3,3.2999999523,3.4000000954
1644897378,18,40.000000477,3.2000000477,3.5,3.2000000477,3.4000000954,3.2000000477,3.2999999523,3.4000000954,3.5,3.4000000954,2.9000000954,3.5999999046,3.4000000954
1644897379,19,39.6000003816,3.2000000477,3.5,3.2000000477,3.4000000954,3.2000000477,3.2999999523,3.4000000954,3.5,3.4000000954,2.9000000954,3.5999999046,3
1644897380,20,39.6000003816,3.2000000477,3.5,3.2000000477,3.4000000954,3.2000000477,3.2999999523,3.4000000954,3.5,3.4000000954,2.9000000954,3.5999999046,3
1644897381,21,39.2999999523,3.2999999523,3.2999999523,3.0999999046,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3,3.5,3
1644897382,22,39.5999999046,3.2999999523,3.2999999523,3.0999999046,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3,3.5,3.2999999523
1644897383,23,39.5999999046,3.2999999523,3.2999999523,3.0999999046,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3,3.5,3.2999999523
1644897384,24,39.9000000954,3.2999999523,3.5,3.2000000477,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3,3.5,3.2999999523
1644897385,25,40.4000003339,3.2999999523,3.5,3.2000000477,3.5,3.2999999523,3.4000000954,3.4000000954,3.7000000477,3.4000000954,3,3.4000000954,3.2999999523
1644897386,26,40.6000003816,3.2999999523,3.5,3.2000000477,3.5,3.2999999523,3.4000000954,3.4000000954,3.7000000477,3.4000000954,3,3.4000000954,3.5
1644897387,27,40.7000005247,3.4000000954,3.5,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.7000000477,3.4000000954,3,3.4000000954,3.5
1644897388,28,40.6000003816,3.4000000954,3.5,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.5
1644897389,29,40.2000000477,3.2999999523,3.5,3.0999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.5
1644897390,30,40.2000000477,3.2999999523,3.5,3.0999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.5
1644897391,31,40.6000001431,3.2999999523,3.5,3.0999999046,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.5,3.4000000954
1644897392,32,40.6000001431,3.2999999523,3.5,3.0999999046,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.5,3.4000000954
1644897393,33,40.7000005247,3.4000000954,3.4000000954,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.5,3.4000000954
