Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106
1644463739,20,19.7999999523,3.4000000954,3.5,3.2000000477,3.2999999523,3.0999999046,3.2999999523
1644463740,21,19.7999999523,3.4000000954,3.5,3.2000000477,3.2999999523,3.0999999046,3.2999999523
1644463741,22,20,3.2000000477,3.5999999046,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1644463742,23,20,3.2000000477,3.5999999046,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1644463743,24,20,3.2000000477,3.5999999046,3.0999999046,3.2999999523,3.4000000954,3.4000000954
1644463744,25,20.1000001431,3.5,3.4000000954,3.2999999523,3.0999999046,3.4000000954,3.4000000954
1644463745,26,20.1000001431,3.5,3.4000000954,3.2999999523,3.0999999046,3.4000000954,3.4000000954
1644463746,27,20.1000001431,3.5,3.4000000954,3.2999999523,3.0999999046,3.4000000954,3.4000000954
1644463747,28,20.2999997138,3.2999999523,3.5,3.0999999046,3.2999999523,3.5,3.5999999046
1644463748,29,20.2999997138,3.2999999523,3.5,3.0999999046,3.2999999523,3.5,3.5999999046
1644463749,30,20.2999997138,3.2999999523,3.5,3.0999999046,3.2999999523,3.5,3.5999999046
1644463750,31,19.7999999523,3.2999999523,3.5999999046,3,3,3.5,3.4000000954
1644463751,32,19.7999999523,3.2999999523,3.5999999046,3,3,3.5,3.4000000954
1644463752,33,19.7999999523,3.2999999523,3.5999999046,3,3,3.5,3.4000000954
1644463753,34,20.6000001431,3.4000000954,3.5999999046,3.2000000477,3.5,3.4000000954,3.5
1644463754,35,20.6000001431,3.4000000954,3.5999999046,3.2000000477,3.5,3.4000000954,3.5
1644463755,36,20.6000001431,3.4000000954,3.5999999046,3.2000000477,3.5,3.4000000954,3.5
1644463756,37,20.0000002385,3.4000000954,3.4000000954,3,3.2999999523,3.4000000954,3.5
1644463757,38,20.0000002385,3.4000000954,3.4000000954,3,3.2999999523,3.5,3.4000000954
1644463758,39,20.0000002385,3.4000000954,3.4000000954,3,3.2999999523,3.5,3.4000000954
1644463759,40,19.7999999523,3.2999999523,3,3.2999999523,3.2999999523,3.5,3.4000000954
1644463760,41,19.5,3.2999999523,3,3.2999999523,3.2000000477,3.2999999523,3.4000000954
1644463761,42,19.5,3.2999999523,3,3.2999999523,3.2000000477,3.2999999523,3.4000000954
1644463762,43,20.0000002385,3.4000000954,3.5,3.2000000477,3.2000000477,3.2999999523,3.4000000954
1644463763,44,20.2000002862,3.4000000954,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1644463764,45,20.2000002862,3.4000000954,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1644463765,46,20.1000001431,3.2999999523,3.5,3.2000000477,3.2999999523,3.4000000954,3.4000000954
1644463766,47,20.2999999523,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1644463767,48,20.2999999523,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1644463768,49,20.5,3.4000000954,3.5999999046,3.2000000477,3.7000000477,3.2999999523,3.2999999523
1644463769,50,20.5,3.4000000954,3.5999999046,3.2000000477,3.7000000477,3.2999999523,3.2999999523
1644463770,51,20.5,3.4000000954,3.5999999046,3.2000000477,3.7000000477,3.2999999523,3.2999999523
1644463771,52,20.2000000477,3.4000000954,3.5,3.2000000477,3.2999999523,3.5,3.2999999523
