Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110
1646049648,3709,35,4,3.4000000954,3.5,3.2999999523,3.5999999046,3.5,3.4000000954,3.2000000477,3.5999999046,3.5
1646049649,3710,34.8999998569,4,3.4000000954,3.5,3.2999999523,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.5
1646049650,3711,34.1999998092,3.5,3.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,3.5
1646049651,3712,34.4999997615,3.5,3.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5,3.5,3.5,3.5999999046,3.2999999523
1646049652,3713,34.4999997615,3.5,3.5999999046,3.4000000954,3.2999999523,3.2999999523,3.5,3.5,3.5,3.5999999046,3.2999999523
1646049653,3714,34.5999996661,3.2999999523,3.5999999046,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.5,3.5999999046,3.2999999523
1646049654,3715,34.6999998092,3.2999999523,3.5999999046,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.5,3.7000000477,3.2999999523
1646049655,3716,34.6999998092,3.2999999523,3.5999999046,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.5,3.7000000477,3.2999999523
1646049656,3717,34.7999999523,3.4000000954,3.2999999523,3.5,3.5,3.5999999046,3.5,3.5,3.5,3.7000000477,3.2999999523
1646049657,3718,34.5,3.4000000954,3.2999999523,3.5,3.5,3.5999999046,3.5,3.2999999523,3.2999999523,3.7000000477,3.4000000954
1646049658,3719,34.2000002862,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.7000000477,3.4000000954
1646049659,3720,34.2000002862,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.7000000477,3.4000000954
1646049660,3721,33.9000003339,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954
1646049661,3722,34,3.5,3.5,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954
1646049662,3723,34.2999999523,3.5,3.5,3.2999999523,3.7000000477,3.4000000954,3.5999999046,3.5,3.2000000477,3.2999999523,3.2999999523
1646049663,3724,33.7999999523,3.4000000954,3.2999999523,3.2999999523,3.5,3.4000000954,3.5999999046,3.5,3.2000000477,3.2999999523,3.2999999523
1646049664,3725,34.3999998569,3.4000000954,3.2999999523,3.2999999523,3.5,4.0999999046,3.5,3.5,3.2000000477,3.2999999523,3.2999999523
1646049665,3726,34.6999998092,3.4000000954,3.2999999523,3.2999999523,3.5,4.0999999046,3.5,3.5,3.2999999523,3.5,3.2999999523
1646049666,3727,34.6999998092,3.4000000954,3.2999999523,3.2999999523,3.5,4.0999999046,3.5,3.5,3.2999999523,3.5,3.2999999523
1646049667,3728,34.5,3.2999999523,3.5,3.4000000954,3.5,3.7000000477,3.5,3.5,3.2999999523,3.5,3.2999999523
