Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102
1645846301,167,12.7999997139,7.1999998093,5.5999999046
1645846302,168,12.7999997139,7.1999998093,5.5999999046
1645846303,169,12.4000000954,6.9000000954,5.5
1645846304,170,12.4000000954,6.9000000954,5.5
1645846305,171,12.4000000954,6.9000000954,5.5
1645846306,172,12.7999997139,7.1999998093,5.5999999046
1645846307,173,12.7999997139,7.1999998093,5.5999999046
1645846308,174,12.7999997139,7.1999998093,5.5999999046
1645846309,175,12.2000002861,6.9000000954,5.3000001907
1645846310,176,12.2000002861,6.9000000954,5.3000001907
1645846311,177,12.2000002861,6.9000000954,5.3000001907
1645846312,178,12.9000000953,7.3000001907,5.5999999046
1645846313,179,12.9000000953,7.3000001907,5.5999999046
1645846314,180,12.9000000953,7.3000001907,5.5999999046
1645846315,181,13.5,6.4000000954,7.0999999046
1645846316,182,13.5,6.4000000954,7.0999999046
1645846317,183,14.0999999046,7,7.0999999046
1645846318,184,12.5,7,5.5
1645846319,185,12.5,7,5.5
1645846320,186,11.9000000953,6.5999999046,5.3000001907
1645846321,187,11.9000000953,6.5999999046,5.3000001907
1645846322,188,11.9000000953,6.5999999046,5.3000001907
1645846323,189,12.5999999046,7,5.5999999046
1645846324,190,12.5999999046,7,5.5999999046
1645846325,191,12.5999999046,7,5.5999999046
1645846326,192,12.6999998093,7.1999998093,5.5
1645846327,193,12.6999998093,7.1999998093,5.5
1645846328,194,12.6999998093,7.1999998093,5.5
1645846329,195,13.4000000954,6.4000000954,7
1645846330,196,13.4000000954,6.4000000954,7
1645846331,197,13.4000000954,6.4000000954,7
1645846332,198,12,6.6999998093,5.3000001907
1645846333,199,12,6.6999998093,5.3000001907
1645846334,200,12,6.6999998093,5.3000001907
1645846335,201,12.6999998093,7.1999998093,5.5
1645846336,202,12.6999998093,7.1999998093,5.5
1645846337,203,12.6000003814,7.3000001907,5.3000001907
1645846338,204,12.6000003814,7.3000001907,5.3000001907
1645846339,205,11.9000000953,6.8000001907,5.0999999046
1645846340,206,11.9000000953,6.8000001907,5.0999999046
1645846341,207,11.9000000953,6.8000001907,5.0999999046
1645846342,208,11.9000000953,6.8000001907,5.0999999046
1645846343,209,12.8000001908,7.4000000954,5.4000000954
1645846344,210,12.8000001908,7.4000000954,5.4000000954
1645846345,211,12.8000001908,7.4000000954,5.4000000954
1645846346,212,12.1999998092,7.0999999046,5.0999999046
1645846347,213,12.1999998092,7.0999999046,5.0999999046
1645846348,214,12.1999998092,7.0999999046,5.0999999046
1645846349,215,12.2000002861,6.8000001907,5.4000000954
1645846350,216,12.2000002861,6.8000001907,5.4000000954
1645846351,217,12.2000002861,6.8000001907,5.4000000954
1645846352,218,12.7999997139,7.0999999046,5.6999998093
1645846353,219,12.7999997139,7.0999999046,5.6999998093
1645846354,220,12.7999997139,7.0999999046,5.6999998093
1645846355,221,12.8999996186,7.1999998093,5.6999998093
1645846356,222,12.8999996186,7.1999998093,5.6999998093
1645846357,223,12.8999996186,7.1999998093,5.6999998093
1645846358,224,12.6999998092,7.0999999046,5.5999999046
1645846359,225,12.6999998092,7.0999999046,5.5999999046
1645846360,226,12.2999997139,6.6999998093,5.5999999046
1645846361,227,12.2999997139,6.6999998093,5.5999999046
1645846362,228,12.2999997139,6.6999998093,5.5999999046
1645846363,229,12.5499997139,6.9499998093,5.5999999046
1645846364,230,12.7999997139,7.1999998093,5.5999999046
1645846365,231,12.7999997139,7.1999998093,5.5999999046
1645846366,232,12.4000000953,7.3000001907,5.0999999046
1645846367,233,12.4000000953,7.3000001907,5.0999999046
1645846368,234,12.4000000953,7.3000001907,5.0999999046
1645846369,235,12.4000000953,7.3000001907,5.0999999046
1645846370,236,12.5,6.9000000954,5.5999999046
1645846371,237,12.5,6.9000000954,5.5999999046
1645846372,238,12.5999999046,7.0999999046,5.5
1645846373,239,12.5999999046,7.0999999046,5.5
1645846374,240,12.5999999046,7.0999999046,5.5
1645846375,241,12.5999999046,7.0999999046,5.5
1645846376,242,13,7.5,5.5
1645846377,243,13,7.5,5.5
1645846378,244,13,7.5,5.5
