Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112
1645767242,1160,44.100000143,4.3000001907,3.4000000954,3.4000000954,4.5,4.5,3.5999999046,3.5,3.7000000477,3.5,3.2999999523,3.0999999046,3.2999999523
1645767243,1161,43.0999999046,3.4000000954,3.2999999523,3.4000000954,4.5,4.5,3.5999999046,3.5,3.7000000477,3.5,3.2999999523,3.0999999046,3.2999999523
1645767244,1162,44.0999999046,3.4000000954,3.2999999523,3.5,5.0999999046,4.5,3.9000000954,3.5,3.7000000477,3.5,3.2999999523,3.0999999046,3.2999999523
1645767245,1163,45.4999999999,4.3000001907,3.5,3.2999999523,5.0999999046,4.5,3.9000000954,3.4000000954,3.5999999046,3.7999999523,3.2999999523,3.0999999046,3.7000000477
1645767246,1164,45.4999999999,4.3000001907,3.5,3.2999999523,5.0999999046,4.5,3.9000000954,3.4000000954,3.5999999046,3.7999999523,3.2999999523,3.0999999046,3.7000000477
1645767247,1165,44.6000001429,4.3000001907,3.5,3.2999999523,4.5,4.3000001907,3.7999999523,3.4000000954,3.5999999046,3.7999999523,3.2999999523,3.0999999046,3.7000000477
1645767248,1166,44.0000002383,4.3000001907,3.5,3.2999999523,4.5,4.3000001907,3.7999999523,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.2999999523
1645767249,1167,44.4999999999,3.5,3.5,3.5,5.5999999046,4.3000001907,3.7999999523,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.2999999523
1645767250,1168,43.6999998092,3.5,3.5,3.5,5.5999999046,3.7000000477,3.5999999046,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.2999999523
1645767251,1169,43.5,3.5,3.5,3.5,5.5999999046,3.7000000477,3.5999999046,3.5,3.2999999523,3.5,3.5,2.9000000954,3.4000000954
1645767252,1170,43.8000004292,4.3000001907,3.4000000954,3.5,4.5,4.4000000954,3.5999999046,3.5,3.2999999523,3.5,3.5,2.9000000954,3.4000000954
1645767253,1171,44.1000003815,4.3000001907,3.4000000954,3.5,4.5,4.4000000954,3.5999999046,3.5,3.5999999046,3.5,3.4000000954,3,3.4000000954
1645767254,1172,44.0000002384,4.3000001907,3.5,3.7000000477,4.0999999046,4.4000000954,3.5999999046,3.5,3.5999999046,3.5,3.4000000954,3,3.4000000954
1645767255,1173,44.0000002384,4.3000001907,3.5,3.7000000477,4.0999999046,4.4000000954,3.5999999046,3.5,3.5999999046,3.5,3.4000000954,3,3.4000000954
1645767256,1174,44.600000143,4.3000001907,3.5,3.7000000477,4.0999999046,4.4000000954,3.5999999046,3.4000000954,3.5,3.9000000954,3.2999999523,3.2999999523,3.5999999046
1645767257,1175,44.600000143,4.3000001907,3.5,3.7000000477,4.0999999046,4.4000000954,3.5999999046,3.4000000954,3.5,3.9000000954,3.2999999523,3.2999999523,3.5999999046
1645767258,1176,42.9999999999,4.3000001907,3.5,3.5,3.9000000954,3.5999999046,3.5,3.4000000954,3.2999999523,3.7999999523,3.2999999523,3.2999999523,3.5999999046
1645767259,1177,43.0000002384,4.3000001907,3.5,3.5,3.9000000954,3.5999999046,3.5,3.4000000954,3.2999999523,3.7999999523,3.4000000954,3.2000000477,3.5999999046
1645767260,1178,45.1000003814,4.3000001907,3.2999999523,3.4000000954,5.5999999046,4.3000001907,3.5,3.4000000954,3.2999999523,3.7999999523,3.4000000954,3.2000000477,3.5999999046
1645767261,1179,45.1000003814,4.3000001907,3.2999999523,3.4000000954,5.5999999046,4.3000001907,3.5,3.4000000954,3.2999999523,3.7999999523,3.4000000954,3.2000000477,3.5999999046
1645767262,1180,44.9000003337,4.3000001907,3.2999999523,3.4000000954,5.5999999046,4.3000001907,3.5,3.4000000954,3.2999999523,3.5,3.5,3.2999999523,3.5
1645767263,1181,45.2000002861,4.4000000954,3.5,3.4000000954,5.5999999046,4.3000001907,3.5,3.4000000954,3.2999999523,3.5,3.5,3.2999999523,3.5
1645767264,1182,44.3000001907,4.4000000954,3.5,3.5,4.5,4.3000001907,3.5999999046,3.4000000954,3.2999999523,3.5,3.5,3.2999999523,3.5
1645767265,1183,44.4000003338,4.4000000954,3.5,3.5,4.5,4.3000001907,3.5999999046,3.5,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5
1645767266,1184,44.5000004768,4.3000001907,3.5,3.9000000954,4.5,4.3000001907,3.5999999046,3.5,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.2999999523
1645767267,1185,44.2000002861,4.3000001907,3.5,3.9000000954,4.0999999046,4.5,3.5,3.5,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.2999999523
1645767268,1186,45.100000143,4.3000001907,3.5,4.0999999046,4.5,4.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5999999046
1645767269,1187,45.100000143,4.3000001907,3.5,4.0999999046,4.5,4.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5999999046
1645767270,1188,44.9000000953,4.3000001907,3.5,4.0999999046,4.5,4.5,3.5,3.5,3.2999999523,3.5999999046,3.4000000954,3.2000000477,3.5
